,Date,Visit Number,Product,Visitor_ID,CSource,State,Day,Month,Year,State Code
119,"January 1, 2018",5,unknown,5032110347860520092_2247948010829262346,unknown,mississippi ,January,1,2018,51
120,"January 1, 2018",11,unknown,4695919165213870851_8194490113200431669,unknown,georgia ,January,1,2018,51
121,"January 1, 2018",28,unknown,4992127050721655504_1863363009287183053,unknown,georgia ,January,1,2018,51
122,"January 1, 2018",57,unknown,6230817955096426882_2131743333162392463,unknown,tennessee ,January,1,2018,51
123,"January 1, 2018",60,unknown,6230817955096426882_2131743333162392463,unknown,tennessee ,January,1,2018,51
124,"January 1, 2018",10,unknown,6805584168729785422_5654615507038039183,unknown,tennessee ,January,1,2018,51
125,"January 1, 2018",4,unknown,657586007620506322_7756403323570523254,unknown,new york ,January,1,2018,51
126,"January 1, 2018",14,unknown,4190938001714079381_6691222028788940143,unknown,new york ,January,1,2018,51
127,"January 1, 2018",10,unknown,3955065216980907401_6421324711952320517,unknown,kansas ,January,1,2018,51
128,"January 1, 2018",1,unknown,8317463513868230602_8622102141161867728,unknown,oregon ,January,1,2018,51
129,"January 1, 2018",29,unknown,1665703770584752450_9208492245620781944,unknown,colorado ,January,1,2018,51
130,"January 1, 2018",5,unknown,5117468144516935365_6003680730191855856,unknown,new york ,January,1,2018,51
131,"January 1, 2018",1,unknown,9069118603727805598_7887087800216963090,unknown,pennsylvania ,January,1,2018,51
132,"January 1, 2018",3,unknown,2215656963705020499_3484206461006050147,unknown,alaska ,January,1,2018,51
134,"January 1, 2018",4,Personal,2914094568601665101_5383892901777088146,unknown,massachusetts ,January,1,2018,51
136,"January 1, 2018",2,Purchase,4580586728575668895_2355924021875903047,unknown,florida ,January,1,2018,51
138,"January 1, 2018",1,Refinance,2932148839_2781648693,unknown,illinois ,January,1,2018,51
139,"January 1, 2018",1,Refinance,3253127411122298561_4611687158741256700,unknown,new york ,January,1,2018,51
140,"January 1, 2018",1,Refinance,412270155_1594079913,unknown,connecticut ,January,1,2018,51
141,"January 1, 2018",6,Purchase,7626789446230107518_2505799745290202946,unknown,texas ,January,1,2018,51
142,"January 1, 2018",1,Refinance,1124499293_2140199949,unknown,minnesota ,January,1,2018,51
143,"January 1, 2018",1,Personal,801964370_4048509773,unknown,florida ,January,1,2018,51
144,"January 1, 2018",3,Purchase,2889527006_1325693927,unknown,florida ,January,1,2018,51
145,"January 1, 2018",4,Personal,2702219558513931744_4225003280166516662,unknown,ohio ,January,1,2018,51
146,"January 1, 2018",1,Refinance,2889513150_3038137298,unknown,michigan ,January,1,2018,51
147,"January 1, 2018",3,Home Equity,7996154596560667226_4849372410051740009,unknown,north carolina ,January,1,2018,51
148,"January 1, 2018",5,Personal,362547607464786214_6016507989795832896,unknown,new york ,January,1,2018,51
149,"January 1, 2018",5,Personal,4191589544647692672_7241234122531537495,unknown,ohio ,January,1,2018,51
150,"January 1, 2018",8,Personal,7524313859387702375_4400404432273118054,unknown,georgia ,January,1,2018,51
151,"January 1, 2018",1,Refinance,2306294998_1594079913,unknown,california ,January,1,2018,51
152,"January 1, 2018",3,Refinance,1116573997288761882_8190308393126890752,unknown,new york ,January,1,2018,51
153,"January 1, 2018",1,Refinance,6869199224425854922_1650110396435851535,unknown,kentucky ,January,1,2018,51
154,"January 1, 2018",8,Personal,6358442734036000215_5217796799822202314,unknown,california ,January,1,2018,51
155,"January 1, 2018",3,Purchase,5531885571785449876_958234486220632193,unknown,california ,January,1,2018,51
156,"January 1, 2018",1,Personal,6617104331516403219_8382722052987944735,unknown,ohio ,January,1,2018,51
157,"January 1, 2018",1,Personal,5319540895766780565_5205546489461019038,unknown,colorado ,January,1,2018,51
158,"January 1, 2018",1,Refinance,2889541804_176175633,unknown,new jersey ,January,1,2018,51
160,"January 1, 2018",2,unknown,7157173685170135028_5959695298333547543,unknown,tennessee ,January,1,2018,51
161,"January 1, 2018",7,Personal,8981369024067616571_4648399761261092922,unknown,pennsylvania ,January,1,2018,51
162,"January 1, 2018",2,Refinance,6819637185966892816_6430675211289003449,unknown,florida ,January,1,2018,51
163,"January 1, 2018",6,Personal,276091951344542112_7758024050117696253,unknown,north carolina ,January,1,2018,51
164,"January 1, 2018",1,Personal,1800261475_1322947750,unknown,illinois ,January,1,2018,51
165,"January 1, 2018",2,Personal,2728562496397731668_4519135056662313443,unknown,texas ,January,1,2018,51
166,"January 1, 2018",33,Personal,1377569866143431413_6160297258405346537,unknown,new york ,January,1,2018,51
167,"January 1, 2018",2,Business Loans,1995594103819044174_78492760311875673,unknown,north carolina ,January,1,2018,51
169,"January 1, 2018",1,Refinance,3674793615802631485_4897773281863801691,unknown,new york ,January,1,2018,51
